group,low_threshold,high_threshold,min_samples,bandwidth,withdrawal_auroc_mean,withdrawal_auroc_std,withdrawal_pr_auc_mean,withdrawal_pr_auc_std,error_auroc_mean,error_auroc_std,error_pr_auc_mean,error_pr_auc_std,high_n_mean,low_n_mean
adults,0.2,0.8,10,bw05,0.37790378540305014,0.09208934833033838,0.15600447746854595,0.06709266311195308,0.6457879339569441,0.06577812536653782,0.9322159748540836,0.021780914686102448,10.0,498.2
adults,0.2,0.8,10,scott,0.3873878540305011,0.09125008337348348,0.15117131445889292,0.06087352268798899,0.6382597629700517,0.06478083348085849,0.9310849992326276,0.02240565931409866,10.0,498.2
adults,0.2,0.8,10,silverman,0.38645724400871456,0.09194250906918426,0.151161849997663,0.06090765107924323,0.6382021412528145,0.06464248167744652,0.9310685527234155,0.02234612746201373,10.0,498.2
adults,0.2,0.8,20,bw05,0.4129040849673203,0.08739950967977635,0.1473862694713668,0.03732858990554244,0.6301283290328277,0.062203095039463745,0.9306232959213834,0.02227342900024373,20.0,498.2
adults,0.2,0.8,20,scott,0.4217693627450981,0.08602499915870734,0.1468589298620347,0.03358202536989657,0.6247460193979602,0.0621689693891376,0.9300875056927327,0.02249821282282868,20.0,498.2
adults,0.2,0.8,20,silverman,0.4224925653594771,0.08660162703095507,0.14729660648518322,0.03387138566818904,0.6245429368819339,0.0626126132123333,0.9300134644424534,0.022504632329275034,20.0,498.2
adults,0.3,0.7,10,bw05,0.36960348583877994,0.09513768017348749,0.15624458334093386,0.06630834744570444,0.6491694705909576,0.06904301227133475,0.932810405547279,0.022128669740309734,10.9,524.1
adults,0.3,0.7,10,scott,0.3775387527233115,0.09524051771291454,0.15373028696751798,0.06194504068004331,0.6432752292113598,0.0703696745532905,0.9320551236031456,0.022729327914828436,10.9,524.1
adults,0.3,0.7,10,silverman,0.3765367919389978,0.09501713783137698,0.1537221242616147,0.06178586313989734,0.6436832435579123,0.06965312361220219,0.9318980141579656,0.022763097704619664,10.9,524.1
adults,0.3,0.7,20,bw05,0.394480174291939,0.08090210161013708,0.1398441062888364,0.03177247015520309,0.6381675602588295,0.05995772496140908,0.9323442237161006,0.021422088352107425,20.0,524.1
adults,0.3,0.7,20,scott,0.4028042483660131,0.07920800424000318,0.1396266342437524,0.030371450074452185,0.631987179396983,0.06108560381901583,0.9312813577219672,0.022035419243883702,20.0,524.1
adults,0.3,0.7,20,silverman,0.4029052287581699,0.07881813612009236,0.14041168842429275,0.03186502701841251,0.6316281660884978,0.060818147730725206,0.9312178444344112,0.02198371356212186,20.0,524.1
adults,0.4,0.6,10,bw05,0.3889958605664488,0.085658003629956,0.13370386161272502,0.023712263211918033,0.639518420763523,0.06792509936874735,0.9318763249198005,0.024095281368932884,18.0,530.1
adults,0.4,0.6,10,scott,0.40144670479302835,0.08199435769254111,0.1361704451092373,0.022839424485369714,0.6315185823251979,0.06609503437734883,0.9308993237372845,0.023791607451012477,18.0,530.1
adults,0.4,0.6,10,silverman,0.4015577614379085,0.08338514008999001,0.1362236405734853,0.022833136776972632,0.6314671665459317,0.06650684777975908,0.9309128215614327,0.02377468539945937,18.0,530.1
adults,0.4,0.6,20,bw05,0.3871904956427016,0.08819498026262097,0.13362806101295555,0.024853210385868685,0.6400988043765793,0.06736186705240005,0.9322203857397986,0.022930231561569616,20.8,530.1
adults,0.4,0.6,20,scott,0.3977454520697168,0.08538360693479044,0.134617439468019,0.024402448466450625,0.6330149858528634,0.06637505687417013,0.9309860830728949,0.023410613568433644,20.8,530.1
adults,0.4,0.6,20,silverman,0.3983325980392157,0.0859923348533664,0.13464794922340234,0.024315857220268737,0.6330104081394528,0.06738104634067967,0.9310431122940296,0.023573087635267245,20.8,530.1
children,0.2,0.8,10,bw05,0.5339348755109625,0.10262364882918219,0.4639303590456688,0.08682807038225042,0.5239748169168459,0.08656367040500894,0.7302463298313099,0.038818825374990935,10.0,11.9
children,0.2,0.8,10,scott,0.5380632199925678,0.10500925497564624,0.4677213280221203,0.08782467075125264,0.5162641025328224,0.09184553681153666,0.7239329279193308,0.044949077983963685,10.0,11.9
children,0.2,0.8,10,silverman,0.5380504459308807,0.10634599798047727,0.4703572114848935,0.08734993565717472,0.5176438574397512,0.09208219668167114,0.7250495739298668,0.0440297865277104,10.0,11.9
children,0.2,0.8,20,bw05,0.5034745447788926,0.09072668645524452,0.42796404986575814,0.07324298591641536,0.5473921586107576,0.07344908758759267,0.7387848011804992,0.035950939680141285,20.0,20.1
children,0.2,0.8,20,scott,0.5031784188034188,0.09124184679386523,0.428753046929934,0.07364533347389925,0.5473128031835761,0.0745941229375825,0.7381962826454502,0.03687343825505636,20.0,20.1
children,0.2,0.8,20,silverman,0.5018150780379041,0.09276935505395323,0.42927619226286196,0.07444609322178107,0.5478590226869212,0.07528755527769541,0.7375579900644402,0.03661420367561665,20.0,20.1
children,0.3,0.7,10,bw05,0.42726565403195843,0.08592190271949898,0.3684061303804043,0.0533601458814535,0.6192718995979866,0.06477630723682415,0.7785645798992797,0.040446831197340834,10.0,50.6
children,0.3,0.7,10,scott,0.42762565031586774,0.08285678994119208,0.3688307791512374,0.05207367160311998,0.6192942377447208,0.06524191064029905,0.779430843301899,0.042383958194790676,10.0,50.6
children,0.3,0.7,10,silverman,0.42460284280936456,0.08611860734381968,0.3673558964965006,0.053385368732405306,0.6209664785473964,0.06586817831939824,0.780230470088617,0.0424915447842413,10.0,50.6
children,0.3,0.7,20,bw05,0.4623269695280564,0.08047919051487738,0.38614010081043276,0.049508994709192164,0.5924631497059033,0.06755893028570881,0.7642189477615162,0.035481590307846055,20.0,50.6
children,0.3,0.7,20,scott,0.46600589929394276,0.07690054016448636,0.39502171033675687,0.05600570970723438,0.5886898094971766,0.06683103370180592,0.7583206574876422,0.03613492162517834,20.0,50.6
children,0.3,0.7,20,silverman,0.4670220178372352,0.0793704836195375,0.3965961088718436,0.05724674118120728,0.5882422528267939,0.06898477982856231,0.7572338718576527,0.03538203252166403,20.0,50.6
children,0.4,0.6,10,bw05,0.353446674098848,0.06609525957158192,0.3309043846343127,0.047949320880836165,0.6807319605381199,0.05891365050891763,0.8206694152924585,0.03354604928623262,10.1,80.4
children,0.4,0.6,10,scott,0.35412834448160535,0.07084819400864023,0.331508968776225,0.0482655017909812,0.6795721861561234,0.0598634859648145,0.8198096760476103,0.03214158770229676,10.1,80.4
children,0.4,0.6,10,silverman,0.3534339000371609,0.07065465151151996,0.3312453435125997,0.04855172821542555,0.6799837087898682,0.06014317907258707,0.8200642259925626,0.03261117643212446,10.1,80.4
children,0.4,0.6,20,bw05,0.38891908212560383,0.07393042629182445,0.3475598640498478,0.04460357676140383,0.659549185807036,0.05622482127571305,0.8038606175633595,0.032131828242116765,20.0,80.4
children,0.4,0.6,20,scott,0.38823741174284654,0.07366270397024802,0.34746990274886835,0.0434864613113254,0.6596216954006808,0.05592937263798995,0.8050024770030308,0.03236865494901564,20.0,80.4
children,0.4,0.6,20,silverman,0.3875429672984021,0.07323272168757895,0.3471719335800663,0.04420596624352202,0.6610493365777181,0.05618878024517896,0.8057641340139001,0.03293206332550685,20.0,80.4
teens,0.2,0.8,10,bw05,0.5262119489705697,0.0890959575461443,0.3791989930506009,0.08865439478913008,0.5531326043033123,0.11015070230308951,0.7756144484907075,0.08329394380170121,10.0,35.5
teens,0.2,0.8,10,scott,0.521639509915372,0.08798437296542656,0.37400600297110187,0.08532997186728679,0.5592495267625983,0.11053619720413617,0.7794589036625797,0.08197673233423317,10.0,35.5
teens,0.2,0.8,10,silverman,0.5211671087533156,0.08933038805760647,0.3735871003882357,0.08564416761598131,0.5595387527659348,0.11185823495761628,0.7798688878416338,0.08230415778792038,10.0,35.5
teens,0.2,0.8,20,bw05,0.5990716180371353,0.08617844017727189,0.432811251658506,0.07662774529173394,0.4898246850073821,0.11794730208664651,0.7456032451593725,0.09041834577678785,20.0,36.5
teens,0.2,0.8,20,scott,0.597663256283946,0.08854901820971617,0.4298064736583796,0.07995138500298117,0.4908468941998361,0.11998550988026341,0.7469030846417609,0.09104046316941404,20.0,36.5
teens,0.2,0.8,20,silverman,0.5971870658077555,0.08846694412262686,0.4324807588195985,0.08409032509202923,0.49118532340386095,0.12055883435537512,0.745859710197914,0.09217247359560035,20.0,36.5
teens,0.3,0.7,10,bw05,0.417879247189592,0.07322213908288791,0.29677793840297206,0.0347873125598981,0.6372057473593309,0.09401272820799722,0.8233524514385391,0.06290724705797758,10.0,82.8
teens,0.3,0.7,10,scott,0.41530882910193256,0.07241718340893179,0.29591472646581607,0.03449943627251718,0.6371835994205324,0.0967384004163082,0.8219156047663544,0.06611699331690388,10.0,82.8
teens,0.3,0.7,10,silverman,0.41630794492863465,0.07577992565463088,0.2961282271166037,0.03462104889031247,0.6378699865791435,0.09728634293100846,0.8223954108006499,0.0661288260794265,10.0,82.8
teens,0.3,0.7,20,bw05,0.5121441202475685,0.07357221287440258,0.34403861591596946,0.04042696638632596,0.553793505745106,0.099936445731863,0.7799181042745956,0.07990543952876678,20.0,82.8
teens,0.3,0.7,20,scott,0.5131615510925855,0.07414244518338929,0.3427850453365705,0.04166156044790236,0.551083848938086,0.09837469111431986,0.7795952709329234,0.08034610807423208,20.0,82.8
teens,0.3,0.7,20,silverman,0.5131798661109006,0.07515864752731671,0.34202242947051503,0.041670773436774756,0.5507279645134131,0.0998850717810194,0.7796137630885909,0.0808345435655196,20.0,82.8
teens,0.4,0.6,10,bw05,0.3616256157635468,0.0952835146136746,0.2651254069309811,0.02632215069076452,0.6793510192030087,0.10664877015996278,0.846300034383155,0.06141186461981822,10.6,106.5
teens,0.4,0.6,10,scott,0.36283440697233804,0.0971202503866536,0.2655150911814502,0.027020304170925488,0.6777418786741682,0.10879445627711998,0.8461836062885109,0.06159997975724933,10.6,106.5
teens,0.4,0.6,10,silverman,0.3600871542250853,0.09589128050403167,0.2645039945776457,0.026843334486022344,0.678779363916199,0.10714033217923674,0.8464010696579789,0.06117369573990651,10.6,106.5
teens,0.4,0.6,20,bw05,0.45511431097637994,0.0860718626170409,0.3078121711143934,0.03436867847415285,0.6077167868988661,0.10035974216904861,0.8060592802251941,0.07604341776506023,20.0,106.5
teens,0.4,0.6,20,scott,0.45746052797776937,0.08871731496388292,0.3079554105831769,0.0390162500690343,0.6047860454092275,0.10184104341708512,0.8071239585096585,0.076231655464601,20.0,106.5
teens,0.4,0.6,20,silverman,0.4572041177213591,0.08896259293981049,0.3064852191511874,0.03804530534068195,0.6042369147609967,0.10205423525225724,0.8081878922395443,0.07635531589518073,20.0,106.5
